 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
爱诺玛亚精油,#硬核大爷坐地铁自带logo#[不要] #小咖秀#我滴妈呀！真是有沟必火！不过胸前那两张贴纸是什么鬼L小熊班尼的秒拍视频快乐对口型，尽在小咖秀！→_→O小咖秀 ?
爱威爱然,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ?
爱威爱然,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ?
爱笑又爱哭的小雯子,可能人生总有一段自己要孤独走下去的时光吧谁也不能理解撑下去就好了?? ?
爱笑又爱哭的小雯子,可能人生总有一段自己要孤独走下去的时光吧谁也不能理解撑下去就好了?? ?
爱笑又爱哭的小雯子,可能人生总有一段自己要孤独走下去的时光吧谁也不能理解撑下去就好了?? ?
愛笑的眼睛elaine仙,《能不能》是一首urban R&B曲风的重节奏情歌，歌词叙述当一段爱情走到尽头，过去的甜蜜只剩回忆，真爱被时间蚕食鲸吞，但心里还存留着最后一丝希望，你愿不愿意继续坚持，让这份爱撑下去？CoCo用歌声抚慰了痴心人的心情，也希望大家在遇到感情僵局时能够懂得珍惜彼此。 ?
愛笑的眼睛elaine仙,《能不能》是一首urban R&B曲风的重节奏情歌，歌词叙述当一段爱情走到尽头，过去的甜蜜只剩回忆，真爱被时间蚕食鲸吞，但心里还存留着最后一丝希望，你愿不愿意继续坚持，让这份爱撑下去？CoCo用歌声抚慰了痴心人的心情，也希望大家在遇到感情僵局时能够懂得珍惜彼此。 ?
安安的火树琪花,宝贝 你听我说，我知道你最近很辛苦，是那种看不见的、 身体上、精神上、人际关系上的、学习上的、感情上的、和面对未来那种无力感。我知道现在的你感觉很累好像撑不下去了，亦知道你有拼命自我救赎的在挣扎。我现在不想很煽情的去安慰你，因为我的安慰一定会让你的软弱肆无忌惮 不受控制。每一个人都 ?  展开全文c
安安的火树琪花,宝贝 你听我说，我知道你最近很辛苦，是那种看不见的、 身体上、精神上、人际关系上的、学习上的、感情上的、和面对未来那种无力感。我知道现在的你感觉很累好像撑不下去了，亦知道你有拼命自我救赎的在挣扎。我现在不想很煽情的去安慰你，因为我的安慰一定会让你的软弱肆无忌惮 不受控制。每一个人都 ?  展开全文c
安安静静生活平平淡淡是真,记上一笔，hold住我的快乐！ O网页链接 ?
安杰拉在尼比鲁,去了一下wasaga beach总觉得wasaga这名一点都不像英语而且为啥湖边会有小松树大包小裹买了一堆零食 结果到之前被一顿KFC吃撑了 零食塞不下去多少了#Canada Day# ?
安杰拉在尼比鲁,去了一下wasaga beach总觉得wasaga这名一点都不像英语而且为啥湖边会有小松树大包小裹买了一堆零食 结果到之前被一顿KFC吃撑了 零食塞不下去多少了#Canada Day# ?
安利菌,你们拍可孚都是一次囤这么多吗一个小时抢了几万件库存！? 现在2片装的只剩下8千件啦！? 现在刷新一次还是掉好几件，按这个速度下去估计是撑不了多久了还想囤的一定要快? 安仔翻了下前面的评论，虽然大部分蛋仔都觉得好用，但还是有部分肤质觉得使用感一般般的? ，所以蛋仔们要 ?  展开全文c
安利菌,你们拍可孚都是一次囤这么多吗一个小时抢了几万件库存！? 现在2片装的只剩下8千件啦！? 现在刷新一次还是掉好几件，按这个速度下去估计是撑不了多久了还想囤的一定要快? 安仔翻了下前面的评论，虽然大部分蛋仔都觉得好用，但还是有部分肤质觉得使用感一般般的? ，所以蛋仔们要 ?  展开全文c
安之若素Bindy,说出来可能没人信，每天努力为了一只狗，每觉得快撑不下去的时候想到的还是狗，等我，布丁～ ?
嗷嗷崽,想要整个世界都是你喜欢的紫色想要那只蝴蝶 飞到你心里想要你快乐 ?
傲霜雪2010,//@西城SQL:在雾霾中服雾，连个撑雨伞的人都木有，老婆不知道跑哪里去了美帝一天天烂下去//@tinyfool: 穷国无外交啊//@cct98912: //@俄羅斯老板娘:美帝日薄西山，已经雇不起佣人了！//@在雾霾中呼吸:撑雨伞的人都木有，瞧不起他
傲霜雪2010,//@西城SQL:在雾霾中服雾，连个撑雨伞的人都木有，老婆不知道跑哪里去了美帝一天天烂下去//@tinyfool: 穷国无外交啊//@cct98912: //@俄羅斯老板娘:美帝日薄西山，已经雇不起佣人了！//@在雾霾中呼吸:撑雨伞的人都木有，瞧不起他
澳洲制造AusMade,人生是否快乐，关键看你是否知足。俗话说欲壑难填，人的欲望是无止境的，一种欲望满足了还会有更多的欲望滋生，若欲望太多太高，则永远得不到满足和快乐。在各种满足不了的欲望面前，我们需要换一个角度去理解。要始终保持一颗平常心，看淡他人升迁；要耐得住寂寞，抗得住清贫。O网页链接 ?
把脉小王子,一整天高强度工作，我要一杯冰咖啡和gogogo 补充能量 。一整天快要撑不下去的时候，就偷偷拿手机刷一会微博，靠一口仙气难撑下来了 2东莞·7咖啡 ?
把脉小王子,一整天高强度工作，我要一杯冰咖啡和gogogo 补充能量 。一整天快要撑不下去的时候，就偷偷拿手机刷一会微博，靠一口仙气难撑下来了 2东莞·7咖啡 ?
爸爸的宝贝女儿,七月我要你们快乐 ?
半罐子甜e,今天我是快乐警察抓走你的不开心 2淄博 ?
半生青鸾,七月与我快快乐乐 ?
半糖ooslo,我以为长大一些，冷漠一些，过的低调一些；我以为寂寞一些，骄傲一些，会快乐多一些。 ?
半夏浅默1994,打小喜欢甜食，吃到一口虫牙还得躲着父母吃，只知道喜欢的东西就要拼命吃，喜欢的小伙伴就得天天一起玩（虽然现在也巴不得喜欢 的人能在身边），长大后喜欢的棒棒糖可乐奶茶爆米花也因为怕胖防三高戒了，你知道这些东西真的可以让你快乐也确实对身体不好，于是你抑制自己的本性自己的欲望，日复 ?  展开全文c
暴躁网友佐佐木,同理，学生撑不下去了可以选择休学，比如我休学以后未来反而明朗了//@亀梨和也穿毛衣等于杀人:转发微博
暴躁网友佐佐木,同理，学生撑不下去了可以选择休学，比如我休学以后未来反而明朗了//@亀梨和也穿毛衣等于杀人:转发微博
爆炒方方面,//@北国佳人李春姬:时代前进的痕迹//@Tiger公子://@纯良英俊的笑了笑:太奇妙了，36年后的对比照莫名感动//@江南大野花:纯真的笑脸快乐的童年，特别看到几个小朋友长大后举着当年的照片有点感动//@月刊勇者KuMa君:牛逼，这才是拍照的意义所在，留下故事//@青艸堂:這篇文章特別採訪了36年後被找到的「小
杯酒xw,出门见姐妹太快乐忘记照相的一天以及染了黑色都快掉光的发色（晕 ?
卑微好好在吗,希望我爱的人和爱我的人永远健康快乐 ?
悲歌_2018,突然很难受，有可能是看过了自己的账单，也有可能是看过了自己的欠款，突然失眠突然很丧，对什么都没了兴趣，想把小裙子卖了，但是还想留着娃。想想如果自己撑不下去了，留下来的却是一堆欠款，强行逼着自己撑下去。。。。 ?
北极熊要吃我的企鹅宝宝,能睡个好觉//@北极熊要吃我的企鹅宝宝:? 希望不用太忙，闲下来的时候也可以开心得过//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐//@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活
北投少年的颜粉,祝男男生日快乐！希望翟潇闻每天都快乐@R1SE-翟潇闻
貝殼_ying,面对现实，实在不敢想象以后的生活。我希望两个人能下了班就回自己的小窝，聊聊白天发生的事。可拉回现实时，还是要一个人独自撑下去，到底该不该是这样维持呢？ ?
奔二少女冲鸭,一到关键时刻就痛经以为这个月不用吃布洛芬了不咋疼结果今天去博物馆还是死去活来都没逛多少就撑不下去了躺了半天好多了所以布洛芬一定一定要随身带orz夏天还是短裤舒服我收回我当初说的怕晒黑的话随手一拍，我最凉快 ?
笨太郎回来了,评论里说很怀念18年时候的他，只有快乐，现在因为一些杠精会顾及很多，没那么放的开了，看到他看首映很紧张的样子好心疼
迸夏茁寡籽刭deng,那些特别懂得自娱的人，其实都是孤独却又不愿轻易打破孤独的孩子。所以他们学会了独自一个人的快乐方式，而那种快乐，恰是最不容易失去的。 ?
比比比斯鲁,//@五月青枫:93级！不就是62级没有高资吗 我还能撑下去
比比比斯鲁,//@五月青枫:93级！不就是62级没有高资吗 我还能撑下去
比比比斯鲁,//@五月青枫:93级！不就是62级没有高资吗 我还能撑下去
笔杆獠牙,#0701夏目贵志生日快乐# 生日快乐呀我的宝贝宝贝大宝贝，全世界最好最温柔的男孩子，因为你的声音认识你，因为你的故事爱上你。要永远做高中生，做叔叔阿姨的小孩子，做犬之会的夏目大人，永远遇见温柔的人和善良的妖怪?  ?
必有出头之路,快乐去他妈 ?
卞卞1995,再次联系上你是用光了我所有的好运气了吧，感觉不到你余生那么长我要怎么撑下去 ?
卞卞1995,再次联系上你是用光了我所有的好运气了吧，感觉不到你余生那么长我要怎么撑下去 ?
别人口中的王村姑,异地才刚刚开始，我已经撑不下去了……我一个人怎么走……一个人！ ?
别人口中的王村姑,异地才刚刚开始，我已经撑不下去了……我一个人怎么走……一个人！ ?
别說wanan,这才是我理想的恋爱：水到渠成的话题，顺其自然的走向，恰到好处的陪伴，自然而然的情话。   看到你喜欢的东西会想着你给你买，遇到什么有趣的事会想着和你分享。想你了就不分场合的随时给你打电话，困了就直接告诉你想睡了不用撑着一直陪下去。在日渐相处的过程中了解彼此的喜好性格，包容和改善对方 ?  展开全文c
别說wanan,这才是我理想的恋爱：水到渠成的话题，顺其自然的走向，恰到好处的陪伴，自然而然的情话。   看到你喜欢的东西会想着你给你买，遇到什么有趣的事会想着和你分享。想你了就不分场合的随时给你打电话，困了就直接告诉你想睡了不用撑着一直陪下去。在日渐相处的过程中了解彼此的喜好性格，包容和改善对方 ?  展开全文c
冰阔落味嘴唇的美少女,这应该是今晚最后一顿吧，我真的撑不下去了 ?
冰淇淋泡芙真的超甜,这家人都是怎么了矛盾都解决不了吵架的吵架抑郁症的抑郁症喝酒家暴的不知错就连我现在也对生活毫无盼头真的每天想哭每天那么多糟糕的情绪我该怎么撑下去 ?
冰淇淋泡芙真的超甜,这家人都是怎么了矛盾都解决不了吵架的吵架抑郁症的抑郁症喝酒家暴的不知错就连我现在也对生活毫无盼头真的每天想哭每天那么多糟糕的情绪我该怎么撑下去 ?
冰镇西柚蝙蝠派,因为看到热搜去看了些恋爱剧，好几部第一集都撑不下去，无论是校园剧，还是校园延伸职场剧，每一部剧里面的男主可以互相调换也没有违和感，因为大家都是一个模板的纸片人真实口区的电视剧市场 ?
冰镇西柚蝙蝠派,因为看到热搜去看了些恋爱剧，好几部第一集都撑不下去，无论是校园剧，还是校园延伸职场剧，每一部剧里面的男主可以互相调换也没有违和感，因为大家都是一个模板的纸片人真实口区的电视剧市场 ?
博之2017,看诸葛找房，这几天北京的挂牌均价掉的越来越快。另外为了还房贷，人们各种奇葩招数都想上了，我看这些贷款买房的快撑不下去了。以前一同事借我两万，折腾半年分两次还了2000，前两天打电话跟我说还我的2000先再借他用用，说下个月再把这2000还回来。哎，我信个鬼啊。挂了后，又连续几次联系我，我都没 ?  展开全文c
跛腿狼先生,@首都儿科研究所 东家生日快乐！
啵_是熊憨憨呐,生日快乐
啵_是熊憨憨呐,我的天使特儿啊~生日快乐~超级爱你，带着哥哥们E.l.f陪你们一直走下去#朴正洙0701生日快乐#
啵叽一口甜_,我和你的每一天都是限量版 而你是我的浪漫制造机 半年快乐 爱老虎油? @hoyue_ ?
不爱吃东西阿,六月末的奇遇衔接七月份的快乐 ?
不爱吃咖喱的咖喱呀,要快乐要暴瘦暴富//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@ali_thin:求你减肥//@Tiger公子:别再生病了
